,locality,postcode,kitchen_has,furnished,facades_number
57732,1800,1800.0,1,0,-999
57733,1050,1050.0,1,0,-999
57734,1170,1170.0,1,0,-999
57735,8400,8400.0,1,0,-999
57736,1190,1190.0,1,0,-999
57737,1180,1180.0,1,0,-999
57738,1000,1000.0,1,0,-999
57739,9000,9000.0,1,0,-999
57740,1070,1070.0,1,0,-999
57741,1050,1050.0,1,0,-999
57742,1180,1180.0,1,0,-999
57743,1180,1180.0,1,0,-999
57744,1070,1070.0,1,0,-999
57745,1200,1200.0,1,0,-999
57746,1050,1050.0,1,0,-999
57747,1933,1933.0,1,0,-999
57748,8400,8400.0,1,0,-999
57749,2600,2600.0,1,0,-999
57750,6032,6032.0,0,0,-999
57751,8450,8450.0,1,0,-999
57752,9400,9400.0,1,0,-999
57753,2610,2610.0,1,0,-999
57754,8400,8400.0,1,0,-999
57755,2060,2060.0,1,1,-999
57756,1410,1410.0,1,0,-999
57757,5000,5000.0,1,0,-999
57758,2018,2018.0,1,0,-999
57759,1070,1070.0,1,1,-999
57760,1410,1410.0,1,0,-999
57761,2500,2500.0,1,0,-999
57762,2060,2060.0,1,1,-999
57763,1000,1000.0,1,1,-999
57764,8670,8670.0,1,0,-999
57765,8400,8400.0,1,0,-999
57766,1348,1348.0,1,0,-999
57767,1410,1410.0,1,0,-999
57768,8400,8400.0,1,0,-999
57769,8780,8780.0,1,1,-999
57770,8300,8300.0,0,0,-999
57771,1050,1050.0,1,0,-999
57772,1180,1180.0,1,0,-999
57773,1180,1180.0,1,0,-999
57774,1190,1190.0,1,0,-999
57775,1050,1050.0,1,0,-999
57776,1180,1180.0,1,0,-999
57777,8300,8300.0,1,0,-999
57778,1000,1000.0,1,0,-999
57779,1050,1050.0,1,0,-999
57780,8790,8790.0,1,0,-999
57781,1180,1180.0,1,0,-999
57782,2150,2150.0,1,0,-999
57783,8400,8400.0,1,0,-999
57784,1150,1150.0,1,0,-999
57785,8300,8300.0,1,0,-999
57786,2000,2000.0,1,0,-999
57787,1000,1000.0,1,0,-999
57788,1180,1180.0,1,0,-999
57789,1180,1180.0,0,0,-999
57790,9300,9300.0,1,0,-999
57791,4000,4000.0,1,0,-999
57792,1200,1200.0,1,0,-999
57793,1200,1200.0,1,0,-999
57794,1200,1200.0,1,0,-999
57795,1180,1180.0,1,0,-999
57796,1160,1160.0,1,0,-999
57797,1200,1200.0,1,0,-999
57798,1950,1950.0,1,0,-999
57799,1150,1150.0,1,0,-999
57800,1950,1950.0,1,0,-999
